artist,album,play_count
Dan Crary,Holiday Guitar,16
Duo Gadjo,Meet Me In Paris,16
Kacey Musgraves,Pageant Material,16
Dean Martin,This Time I'm Swingin',16
Frank Sinatra,A Jolly Christmas From Frank Sinatra,15
Frank Sinatra & Count Basie,An Historic Musical First,15
The Civil Wars,Between The Bars (EP),15
Brandi Carlile,Brandi Carlile,15
Billy Currington,Doin' Somethin' Right,15
Dean Martin,"Hey, Brother Pour The Wine",15
Green Day,Insomniac,15
Explosions in the Sky,Prince Avalanche: An Original Motion Picture Soundtrack,15
Matt Nathanson,Some Mad Hope,15
Norah Jones,Spotify Singles - Holiday,15
Connie Evingson,Stockholm Sweetnin',15
Andy Williams,The Andy Williams Christmas Album,15
Dean Martin,The Capitol Years,15
Julie London,The Very Best Of Julie London,15
Tracy Chapman,Tracy Chapman,15
Plain White T's,Wonders of the Younger,15
Pink Martini,A Retrospective,14
She & Him,A Very She & Him Christmas,14
Patty Griffin,American Kid,14
Lauren Daigle,Behold,14
Etta James,Blues,14
Norah Jones,Day Breaks (Deluxe Edition),14
Pink Martini,Dream A Little Dream,14
Brett Eldredge,Glow,14
Ray LaMontagne,Gossip In The Grain,14
Béla Fleck and the Flecktones,Jingle All The Way,14
Norah Jones,Little Broken Hearts,14
Brandi Carlile,Live At Benaroya Hall With The Seattle Symphony,14
Norah Jones,Live In 2007,14
Nancy Wilson,Nancy Wilson/Cannonball Adderley,14
Norah Jones,New York City - The Chill Album,14
A Fine Frenzy,One Cell in the Sea,14
Iron & Wine,Our Endless Numbered Days,14
Neon Trees,Pop Psychology,14
Brett Dennen,Por Favor,14
Mandolin Orange,Such Jubilee,14
Silversun Pickups,Swoon,14
Diana Krall,The Look Of Love,14
Feist,The Reminder,14
Steve Tyrell,This Guy's In Love,14
Macklemore & Ryan Lewis,This Unruly Mess I've Made,14
Louis Armstrong,What A Wonderful World,14
"Harry Connick, Jr.",When Harry Met Sally... Music From The Motion Picture,14
Austin Basham,All Is Well,13
Dave Barnes,"Carry on, San Vicente",13
Frank Sinatra,Classic Sinatra: His Great Performances 1953-1960,13
